country,university,url,logo
United States,LSU Health Sciences Center Shreveport,https://www.lsuhs.edu/,LSU_Health_Sciences_Center_Shreveport.png
United States,Grambling State University,https://www.gram.edu/,Grambling_State_University.png
United States,Louisiana Tech University,https://www.latech.edu/,Louisiana_Tech_University.png
United States,McNeese State University,https://www.mcneese.edu/,McNeese_State_University.png
United States,Nicholls State University,https://www.nicholls.edu/,Nicholls_State_University.jpg
United States,Northwestern State University,https://www.nsula.edu/,Northwestern_State_University.png
United States,Southeastern Louisiana University,https://www.southeastern.edu/,Southeastern_Louisiana_University.png
United States,University of Louisiana at Lafayette,https://louisiana.edu/,University_of_Louisiana_at_Lafayette.png
United States,University of Louisiana at Monroe,https://www.ulm.edu/,University_of_Louisiana_at_Monroe.png
United States,University of New Orleans,https://www.uno.edu/,University_of_New_Orleans.png
United States,Southern University,https://www.subr.edu/,Southern_University.jpg
United States,Southern University at New Orleans ,https://www.suno.edu/,Southern_University_at_New_Orleans .png
United States,Southern University at Shreveport ,https://www.susla.edu/,Southern_University_at_Shreveport .jpg
United States,Maine Maritime Academy,https://mainemaritime.edu/,Maine_Maritime_Academy.png
United States,University of Maine,https://umaine.edu/,University_of_Maine.png
United States,University of Maine School of Law,https://mainelaw.maine.edu/,University_of_Maine_School_of_Law.png
United States,University of Maine at Augusta,https://www.uma.edu/,University_of_Maine_at_Augusta.png
United States,University of Maine at Farmington,https://www.umf.maine.edu/,University_of_Maine_at_Farmington.png
United States,University of Maine at Fort Kent,https://www.umfk.edu/,University_of_Maine_at_Fort_Kent.png
United States,University of Maine at Machias,https://machias.edu/,University_of_Maine_at_Machias.png
United States,University of Maine at Presque Isle,https://www.umpi.edu/,University_of_Maine_at_Presque_Isle.png
United States,University of Southern Maine,https://usm.maine.edu/,University_of_Southern_Maine.png
United States,Morgan State University,https://www.morgan.edu/,Morgan_State_University.png
United States,University System of Maryland,https://www.usmd.edu/,University_System_of_Maryland.jpg
United States,Bowie State University,https://www.bowiestate.edu/,Bowie_State_University.png
United States,Coppin State University,https://www.coppin.edu/,Coppin_State_University.png
United States,Frostburg State University,https://www.frostburg.edu/,Frostburg_State_University.png
United States,Salisbury University,https://www.salisbury.edu/,Salisbury_University.jpg
United States,Towson University,https://www.towson.edu/,Towson_University.jpg
United States,University of Baltimore,https://www.ubalt.edu/,University_of_Baltimore.png
United States,"University of Maryland, Baltimore",https://www.umaryland.edu/,University_of_Maryland_Baltimore.png
United States,"University of Maryland, Baltimore County",https://umbc.edu/,University_of_Maryland_Baltimore_County.png
United States,University of Maryland Eastern Shore,https://wwwcp.umes.edu/,University_of_Maryland_Eastern_Shore.jpg
United States,University of Maryland Global Campus,https://www.umgc.edu/,University_of_Maryland_Global_Campus.png
United States,University of Maryland Center for Environmental Science,https://www.umces.edu/,University_of_Maryland_Center_for_Environmental_Science.jpg
United States,University of Massachusetts Amherst ,https://www.umass.edu/,University_of_Massachusetts_Amherst.png
United States,University of Massachusetts Boston,https://www.umb.edu/,University_of_Massachusetts_Boston.png
United States,University of Massachusetts Dartmouth,https://www.umassd.edu/,University_of_Massachusetts_Dartmouth.png
United States,University of Massachusetts Lowell,https://www.uml.edu/,University_of_Massachusetts_Lowell.png
United States,Bridgewater State University,https://www.bridgew.edu/,Bridgewater_State_University.png
United States,Fitchburg State University,https://www.fitchburgstate.edu/,Fitchburg_State_University.png
United States,Framingham State University,https://www.framingham.edu/,Framingham_State_University.jpg
United States,Salem State University,https://www.salemstate.edu/,Salem_State_University.png
